,smoothing_level,smoothing_slope,damping_slope,damped,RMSE,R²
417,0.2,0.4,0.6,True,5.852337808869119,-9.571721856766533
418,0.2,0.5,0.6,True,6.027524731318323,-10.214113753553166
419,0.2,0.6,0.6,True,6.175641563827295,-10.772023438803506
420,0.2,0.7,0.6,True,6.296899215252552,-11.238845143391663
421,0.2,0.8,0.6,True,6.39152838914515,-11.60945742743453
422,0.2,0.9,0.6,True,6.459785025746536,-11.880214216217835
423,0.3,0.1,0.6,True,5.382543238969312,-7.9425630273583465
424,0.3,0.2,0.6,True,5.53149229376583,-8.444339241165759
425,0.3,0.3,0.6,True,5.622867467052747,-8.758940036647978
426,0.3,0.4,0.6,True,5.65783774640233,-8.880704990125668
427,0.3,0.5,0.6,True,5.6377959111397615,-8.810827862901117
428,0.3,0.6,0.6,True,5.564447546474997,-8.557208505629431
429,0.3,0.7,0.6,True,5.439929828423089,-8.13426380906847
430,0.3,0.8,0.6,True,5.26698178072978,-7.562697216995174
431,0.3,0.9,0.6,True,5.049197651960309,-6.869220204634291
432,0.4,0.1,0.6,True,4.888443426804442,-6.376122865743986
433,0.4,0.2,0.6,True,4.809054608418979,-6.138490280129119
434,0.4,0.3,0.6,True,4.642775866229063,-5.653380970141076
435,0.4,0.4,0.6,True,4.397284102906518,-4.9683736822700295
436,0.4,0.5,0.6,True,4.084012169934144,-4.148266384590925
437,0.4,0.6,0.6,True,3.7210167321643213,-3.273760698721474
438,0.4,0.7,0.6,True,3.3383792770330776,-2.439998925013087
439,0.4,0.8,0.6,True,2.987564820085891,-1.7550001622310933
440,0.4,0.9,0.6,True,2.7522217192494,-1.3380499800158594
441,0.5,0.1,0.6,True,3.8213952268725477,-3.50744949055501
442,0.5,0.2,0.6,True,3.465998564639548,-2.7080340391433997
443,0.5,0.3,0.6,True,3.049225564027545,-1.869895342661951
444,0.5,0.4,0.6,True,2.6501908390471507,-1.1679100167493277
445,0.5,0.5,0.6,True,2.4183680350285766,-0.8052266779087784
446,0.5,0.6,0.6,True,2.5510246452260965,-1.0087054773831738
447,0.5,0.7,0.6,True,3.1301951327579767,-2.0243341874454623
448,0.5,0.8,0.6,True,4.069894365290993,-4.112734368328903
449,0.5,0.9,0.6,True,5.261481062903187,-7.544821178087103
450,0.6,0.1,0.6,True,2.4824078355586114,-0.9020994587646596
451,0.6,0.2,0.6,True,2.154354981930484,-0.4325885835065959
